t_s,x_mm,y_mm,z_mm,speed_mm_s,yaw_rad,left_drive,right_drive,flipped_physics_steps,sensor_left,sensor_right,speed_command,turn_command,brain_dn_left,brain_dn_right
0.015,0.057066477835178375,-0.03014051541686058,1.067777156829834,18.571794509887695,0.015289544127881527,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.03,0.1435200273990631,-0.031561266630887985,1.0971091985702515,4.292138576507568,0.008383659645915031,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.045,0.29282721877098083,0.05519907549023628,1.060906171798706,5.553586006164551,-0.047852616757154465,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.06,0.3164409101009369,-0.0782194435596466,1.086744785308838,6.756995677947998,-0.061233408749103546,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.075,0.497586190700531,-0.17066730558872223,1.0068198442459106,15.680276870727539,-0.04725939780473709,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.09,0.5979599356651306,-0.063926562666893,1.051407814025879,7.4870171546936035,-0.026733670383691788,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.105,0.7699496746063232,-0.15699496865272522,1.0628820657730103,6.343901634216309,-0.001340207178145647,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.12,0.9045665860176086,-0.09072840958833694,1.038954257965088,11.505561828613281,-0.09373634308576584,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.135,1.0279263257980347,-0.13191929459571838,1.0557039976119995,14.422171592712402,-0.1386602818965912,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.15,1.2292087078094482,-0.14904145896434784,1.0796326398849487,15.235344886779785,-0.15317417681217194,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.16499999999999998,1.4278044700622559,-0.27347636222839355,1.067554235458374,25.127147674560547,-0.0753866508603096,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.18,1.5908582210540771,-0.2821110486984253,1.1285306215286255,18.58208465576172,-0.077812559902668,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.195,1.8120810985565186,-0.30648118257522583,1.0640084743499756,20.9960994720459,-0.12723881006240845,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.21,1.9239344596862793,-0.22420388460159302,1.0271562337875366,6.009431838989258,-0.11213095486164093,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.22499999999999998,1.9278250932693481,-0.40425971150398254,1.0682826042175293,5.979361534118652,-0.16753292083740234,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.24,2.1376099586486816,-0.47101548314094543,1.0227036476135254,22.154693603515625,-0.21571789681911469,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.255,2.346123218536377,-0.5058795809745789,1.05812668800354,8.38732624053955,-0.1466251015663147,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.27,2.5869827270507812,-0.5890991687774658,1.0947058200836182,9.146080017089844,-0.1226256862282753,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.285,2.7366750240325928,-0.47082415223121643,1.062263011932373,26.678796768188477,-0.09778045862913132,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.3,2.9238321781158447,-0.5109403729438782,1.1155290603637695,6.685274600982666,-0.14451172947883606,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.315,3.0220112800598145,-0.5804376006126404,1.1111263036727905,14.041797637939453,-0.2207311987876892,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.32999999999999996,3.2108490467071533,-0.7556031346321106,1.0878562927246094,20.351675033569336,-0.21251356601715088,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.345,3.364098072052002,-0.679573655128479,1.1448951959609985,3.5449304580688477,-0.11881358921527863,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
